"global_id";"ID";"DepartamentalAffiliation";"AdmArea";"District";"Location";"DogParkArea";"Elements";"Lighting";"Fencing";"Photo";"WorkingHours";"geoData";"geodata_center";
"global_id";"Код";"Ведомственная принадлежность";"Административный округ";"Район";"Адресный ориентир";"Площадь площадки (кв.м)";"Элементы площадки";"Освещение площадки";"Ограждение площадки";"Фотография";"График работы";"geoData";"geodata_center";
"272687566";"18";"Префектура Центрального административного округа города Москвы";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 23, строение 1";"290";"[барьер одинарный, вышка-лестница (с перилами)]";"нет";"да";"nested data";"nested data";"{coordinates=[37.658804, 55.760016], type=Point}";"";
"272687567";"19";"Префектура Центрального административного округа города Москвы";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 25";"290";"[барьер одинарный, тренировочный снаряд с покрышкой]";"нет";"да";"nested data";"nested data";"{coordinates=[37.658586, 55.759519], type=Point}";"";
"272687571";"103";"Префектура Юго-Восточного административного округа города Москвы";"Юго-Восточный административный округ";"Рязанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, улица Паперника, дом 1";"610";"[вышка-лестница (с перилами), горка-лестница (без перил), скамья для собаководов]";"нет";"да";"nested data";"nested data";"{coordinates=[37.7826, 55.7201], type=Point}";"";
"272687573";"106";"Префектура Юго-Восточного административного округа города Москвы";"Юго-Восточный административный округ";"район Текстильщики";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, Волжский бульвар, дом 3, корпус 1";"407.7";"[вышка-лестница (с перилами), горка-лестница (без перил), трамплин]";"нет";"да";"nested data";"nested data";"{coordinates=[37.7427, 55.719], type=Point}";"";
"272687574";"107";"Префектура Юго-Восточного административного округа города Москвы";"Юго-Восточный административный округ";"район Текстильщики";"город Москва, улица Шкулёва, владение 2Б, строение 2";"626.97";"[барьер тройной, вышка-лестница (с перилами), горка-лестница (без перил), урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.7416, 55.6924], type=Point}";"";
"272690824";"23232";"Префектура Северо-Восточного административного округа города Москвы";"Северо-Восточный административный округ";"район Отрадное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, улица Римского-Корсакова, дом 15";"491";"[барьер тройной, бум для собак, информационный стенд, полоса препятствий, трамплин, тренировочный снаряд с покрышкой, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.610527, 55.875976], type=Point}";"{coordinates=[37.610527, 55.875976], type=Point}";
"272690951";"23254";"Префектура Северо-Восточного административного округа города Москвы";"Северо-Восточный административный округ";"район Лианозово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Угличская улица, дом 18";"443";"[горка-мостик А-форма, трап, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.569418, 55.90608], type=Point}";"{coordinates=[37.569418, 55.90608], type=Point}";
"272690961";"35427";"Префектура Северо-Восточного административного округа города Москвы";"Северо-Восточный административный округ";"район Лианозово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Псковская улица, дом 2, корпус 2";"300.6";"[скамья для собаководов, урна]";"нет";"да";"nested data";"nested data";"{coordinates=[37.555911, 55.90268], type=Point}";"";
"272690963";"35265";"Префектура Северо-Восточного административного округа города Москвы";"Северо-Восточный административный округ";"район Лианозово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Абрамцевская улица, дом 30, строение 5";"392.7";"[вышка-лестница (с перилами), горка-мостик А-форма, информационный стенд, полоса препятствий, скамья для собаководов, трамплин, трап]";"нет";"да";"nested data";"nested data";"{coordinates=[37.577547, 55.909995], type=Point}";"{coordinates=[37.577547, 55.909995], type=Point}";
"272691025";"76767";"Префектура Западного административного округа города Москвы";"Западный административный округ";"район Тропарёво-Никулино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, Никулинская улица, дом 23, корпус 1";"932.18";"[балансир для собак, барьер двойной, барьер одинарный, барьер регулируемый, горка-мостик А-форма, информационный стенд, туннель (нора), полоса препятствий, скамья для собаководов, трамплин, трап, урна]";"да";"нет";"nested data";"nested data";"{coordinates=[37.452589, 55.66929], type=Point}";"";
